domaine,parcelle,Ligne,RatioAccuracy,Arbre,Nom_Image,Variete,Porte greffe,fruits_comptés,fruits_detecte,Non_Detectes,Fausses_détections,Accuracy,fruits_sombre,petit,Trop Grand,caché,Fruits en arrière plan,Fruits groupés,autre,,Precision,Recall,F1 Score,FruitDetecté2,Fausse_Détection2,Accuracy2,Précision2
Nour,31100,19,"1,074977416",4,,Orogrande,Volkameriana,35,29,8,2,"77,14285714",0,0,0,3,2,3,0,,"0,935483871","0,7297297297","0,819895288",37,10,"77,14285714","0,7872340426"
Nour,31100,36,"1,212244898",6,,Orogrande,Volkameriana,33,24,12,3,"63,63636364",0,1,0,1,0,10,0,,"0,8888888889","0,5833333333","0,7044025157",40,3,"112,1212121","0,9302325581"
Nour,31100,38,"1,494949495",8,,Orogrande,Volkameriana,24,19,6,1,75,0,1,0,0,0,4,1,,"0,95","0,72","0,8191616766",25,5,"83,33333333","0,8333333333"
Nour,31100,18,"1,30952381",3,,Orogrande,Volkameriana,22,15,8,1,"63,63636364",5,0,0,2,0,1,0,,"0,9375","0,6086956522","0,7381370826",18,5,"59,09090909","0,7826086957"
Nour,31100,37,"0,65",7,,Orogrande,Volkameriana,22,22,2,2,"90,90909091",0,0,0,1,0,1,0,,"0,9166666667","0,8333333333","0,873015873",29,2,"122,7272727","0,935483871"
Nour,31100,39,"1,314935065",9,,Orogrande,Volkameriana,15,14,1,0,"93,33333333",0,0,0,0,0,1,0,,1,"0,9333333333","0,9655172414",8,2,40,"0,8"
Nour,31100,40,"0,4",10,,Orogrande,Volkameriana,12,16,0,4,100,0,0,0,0,0,0,0,,"0,8","0,75","0,7741935484",12,4,"66,66666667","0,75"
Nour,41050,42,"0,8372093023",2,,Nules,Macro,54,45,11,2,"79,62962963",0,0,0,4,0,7,0,,"0,9574468085","0,7678571429","0,8522351905",59,4,"101,8518519","0,9365079365"
Nour,41050,41,"1,432291667",1,,Nules,Macro,45,33,13,1,"71,11111111",2,0,0,8,0,1,2,,"0,9705882353","0,6956521739","0,810437452",33,1,"71,11111111","0,9705882353"
Nour,41050,43,"1,066666667",3,,Nules,Macro,30,21,10,1,"66,66666667",0,0,0,4,0,5,1,,"0,9545454545","0,6451612903","0,7699358387",32,4,"93,33333333","0,8888888889"
Nour,41050,47,"1,152941176",7,,Nules,Macro,21,17,4,0,"80,95238095",0,0,0,4,0,0,0,,1,"0,8095238095","0,8947368421",23,1,"104,7619048","0,9583333333"
Nour,41050,44,"1,30952381",4,,Nules,Macro,20,16,4,0,80,0,0,0,2,0,1,1,,1,"0,8","0,8888888889",17,5,60,"0,7727272727"
Nour,41050,48,"0,9",8,,Nules,Macro,15,14,5,4,"66,66666667",0,0,0,2,0,2,1,,"0,7777777778","0,5263157895","0,6278026906",13,6,"46,66666667","0,6842105263"
Nour,41050,45,"0,5090909091",5,,Nules,Macro,12,13,1,2,"91,66666667",0,0,0,0,0,0,1,,"0,8666666667","0,7857142857","0,8242074928",11,2,75,"0,8461538462"
Nour,41050,46,"0,75",6,,Nules,Macro,10,10,0,0,100,0,0,0,0,0,0,0,,1,1,1,10,3,70,"0,7692307692"
Nour,41050,49,"0,7777777778",9,,Nules,Macro,10,12,1,3,90,0,0,0,1,0,0,0,,"0,8","0,6923076923","0,7422680412",5,6,-10,"0,4545454545"
Nour,41050,50,"-0,1",10,,Nules,Macro,7,7,0,0,100,0,0,0,0,0,0,0,,1,1,1,8,3,"71,42857143","0,7272727273"
Nour,41110,55,"1,267857143",5,,Nules,Macro,71,41,31,1,"56,33802817",3,0,0,9,0,5,14,,"0,9761904762","0,5555555556","0,7081174439",68,4,"90,14084507","0,9444444444"
Nour,41110,53,"1,521126761",3,,Nules,Macro,54,33,22,1,"59,25925926",3,0,0,7,4,6,2,,"0,9705882353","0,5818181818","0,7275232518",33,2,"57,40740741","0,9428571429"
Nour,41110,60,"1,063100137",10,,Nules,Macro,50,27,23,0,54,5,0,0,11,0,2,5,,1,"0,54","0,7012987013",41,1,80,"0,9761904762"
Nour,41110,51,"1,175",1,,Nules,Macro,47,32,15,0,"68,08510638",1,0,0,8,1,3,2,,1,"0,6808510638","0,8101265823",43,0,"91,4893617",1
Nour,41110,56,"1,192134107",6,,Nules,Macro,43,33,10,0,"76,74418605",1,0,0,5,0,3,1,,1,"0,7674418605","0,8684210526",35,2,"76,74418605","0,9459459459"
Nour,41110,52,"1,662790698",2,,Nules,Macro,39,19,21,1,"46,15384615",1,0,0,7,5,8,0,,"0,95","0,45","0,6107142857",23,2,"53,84615385","0,92"
Nour,41110,54,"0,698005698",4,,Nules,Macro,35,28,8,1,"77,14285714",2,0,0,2,1,2,1,,"0,9655172414","0,75","0,8442211055",36,1,100,"0,972972973"
Nour,41110,58,"1,333333333",8,,Nules,Macro,28,22,7,1,75,4,0,0,3,0,0,0,,"0,9565217391","0,724137931","0,82426405",27,2,"89,28571429","0,9310344828"
Nour,41110,59,"1,116071429",9,,Nules,Macro,25,20,5,0,80,0,0,0,3,0,1,1,,1,"0,8","0,8888888889",25,2,92,"0,9259259259"
Nour,41110,57,"1,656",7,,Nules,Macro,18,10,8,0,"55,55555556",1,0,0,0,0,2,5,,1,"0,5555555556","0,7142857143",19,0,"105,5555556",1
Nour,51010,66,"1,382275132",6,,Nules,Volkameriana,55,42,13,0,"76,36363636",4,0,0,8,0,1,0,,1,"0,7636363636","0,8659793814",55,15,"72,72727273","0,7857142857"
Nour,51010,64,"0,7854545455",4,,Nules,Volkameriana,54,52,4,2,"92,59259259",1,0,0,3,0,0,0,,"0,962962963","0,8928571429","0,9265858874",101,3,"181,4814815","0,9711538462"
Nour,51010,69,"3,464646465",9,,Nules,Volkameriana,42,23,20,1,"52,38095238",1,0,0,13,0,6,0,,"0,9583333333","0,511627907","0,6671061305",40,3,"88,0952381","0,9302325581"
Nour,51010,61,"1,189285714",1,,Nules,Volkameriana,27,21,7,1,"74,07407407",3,0,0,2,1,1,0,,"0,9545454545","0,7142857143","0,8171206226",35,3,"118,5185185","0,9210526316"
Nour,51010,62,"1,621832359",2,,Nules,Volkameriana,26,21,7,2,"73,07692308",0,0,0,4,0,3,0,,"0,9130434783","0,6785714286","0,7785365854",29,7,"84,61538462","0,8055555556"
Nour,51010,67,"0,8829431438",7,,Nules,Volkameriana,24,23,1,0,"95,83333333",0,0,0,0,0,1,0,,1,"0,9583333333","0,9787234043",40,16,100,"0,7142857143"
Nour,51010,63,"5,25",3,,Nules,Volkameriana,21,7,17,3,"19,04761905",0,0,0,5,0,11,1,,"0,7","0,1666666667","0,2692307692",15,2,"61,9047619","0,8823529412"
Nour,51010,65,"1,069264069",5,,Nules,Volkameriana,19,11,8,0,"57,89473684",2,0,0,6,0,0,0,,1,"0,5789473684","0,7333333333",15,4,"57,89473684","0,7894736842"
Nour,51010,70,"0,8201754386",10,,Nules,Volkameriana,17,14,5,2,"70,58823529",1,0,0,2,0,2,0,,"0,875","0,6315789474","0,7336244541",28,6,"129,4117647","0,8235294118"
Nour,51010,68,"1,941176471",8,,Nules,Volkameriana,6,4,2,0,"66,66666667",0,0,0,2,0,0,0,,1,"0,6666666667","0,8",10,2,"133,3333333","0,8333333333"
Nour,51030,73,"1,912280702",3,,Nules,Macro,109,76,33,0,"69,72477064",0,0,0,17,0,14,2,,1,"0,6972477064","0,8216216216",124,2,"111,9266055","0,9841269841"
Nour,51030,74,"1,403524101",4,,Nules,Macro,79,66,16,3,"79,74683544",1,0,0,11,0,3,1,,"0,9565217391","0,7682926829","0,8521364894",98,2,"121,5189873","0,98"
Nour,51030,72,"1,949955843",2,,Nules,Macro,69,45,26,2,"62,31884058",1,0,0,16,0,9,0,,"0,9574468085","0,6056338028","0,7419478528",72,6,"95,65217391","0,9230769231"
Nour,51030,80,"1,386956522",9,,Nules,Macro,58,42,18,2,"68,96551724",1,0,0,11,0,6,0,,"0,9545454545","0,6666666667","0,785046729",61,4,"98,27586207","0,9384615385"
Nour,51030,71,"1,556034483",1,,Nules,Macro,57,38,21,2,"63,15789474",0,0,0,15,0,5,1,,"0,95","0,6101694915","0,7430744161",67,5,"108,7719298","0,9305555556"
Nour,51030,75,"1,665570175",5,,Nules,Macro,49,32,17,0,"65,30612245",4,0,0,12,0,0,1,,1,"0,6530612245","0,7901234568",54,1,"108,1632653","0,9818181818"
Nour,51030,81,"1,76266062",10,,Nules,Macro,44,27,17,0,"61,36363636",1,0,0,11,0,5,0,,1,"0,6136363636","0,7605633803",42,6,"81,81818182","0,875"
Nour,51030,76,"1,041322314",6,,Nules,Macro,42,35,9,2,"78,57142857",0,0,0,7,0,2,0,,"0,9459459459","0,75","0,8366533865",49,11,"90,47619048","0,8166666667"
Nour,51030,78,"1,017857143",7,,Nules,Macro,36,32,4,0,"88,88888889",1,0,0,3,0,0,0,,1,"0,8888888889","0,9411764706",46,2,"122,2222222","0,9583333333"
Nour,51030,79,"1,711111111",8,,Nules,Macro,35,27,10,2,"71,42857143",0,0,0,6,0,3,1,,"0,9310344828","0,6756756757","0,783062645",41,5,"102,8571429","0,8913043478"
Nour,51040,91,"1,645714286",10,,Nules,Volkameriana,56,37,21,2,"62,5",2,1,0,13,0,1,4,,"0,9487179487","0,6034482759","0,7376815722",46,5,"73,21428571","0,9019607843"
Nour,51040,83,"1,510044643",2,,Nules,Volkameriana,33,16,17,0,"48,48484848",2,0,0,6,0,6,3,,1,"0,4848484848","0,6530612245",39,4,"106,0606061","0,9069767442"
Nour,51040,90,"1,708754209",9,,Nules,Volkameriana,29,21,11,3,"62,06896552",1,0,0,8,0,2,0,,"0,875","0,5625","0,6847826087",25,9,"55,17241379","0,7352941176"
Nour,51040,87,"0,7840290381",6,,Nules,Volkameriana,27,19,8,0,"70,37037037",0,0,0,2,0,5,1,,1,"0,7037037037","0,8260869565",13,5,"29,62962963","0,7222222222"
Nour,51040,88,"0,4183006536",7,,Nules,Volkameriana,24,18,7,1,"70,83333333",0,0,0,4,0,3,0,,"0,9473684211","0,68","0,7917205692",32,3,"120,8333333","0,9142857143"
Nour,51040,86,"2,315972222",5,,Nules,Volkameriana,23,12,11,0,"52,17391304",1,0,0,9,0,0,1,,1,"0,5217391304","0,6857142857",19,7,"52,17391304","0,7307692308"
Nour,51040,82,"0,6041189931",1,,Nules,Volkameriana,22,20,3,1,"86,36363636",2,0,0,1,0,0,0,,"0,9523809524","0,8260869565","0,884749709",36,6,"136,3636364","0,8571428571"
Nour,51040,84,"1,850649351",3,,Nules,Volkameriana,19,15,5,1,"73,68421053",0,0,0,4,0,0,1,,"0,9375","0,7","0,8015267176",33,8,"131,5789474","0,8048780488"
